part,geo_curved_area_frac,geo_cyl_area_frac,geo_plane_area_frac,geo_other_area_frac,geo_min_curv_radius_rel,geo_log_curv_radius_mean,geo_log_curv_radius_std,geo_n_faces,geo_n_edges,geo_face_area_cv,geo_aspect_max,geo_aspect_mid,geo_volume_frac,geo_area_over_v23,geo_min_face_size_rel
box_hole_s0,0.01341144284288367,0.01341144284288367,0.9865885571571162,0.0,0.04242386491680011,-1.3723897687383932,0.0,7.0,30.0,1.2563771987711285,19.64279385468783,9.567001411648901,0.9855322568107078,13.378273753910493,0.11039275164766153
box_hole_s1,0.012128179823537772,0.012128179823537772,0.9878718201764621,0.0,0.046626674258070114,-1.3313655603738974,0.0,7.0,30.0,1.3073987434470555,22.635234493325456,12.231422831971548,0.9836033456070452,14.803298000444391,0.10666621322205702
box_hole_s2,0.011956229812295466,0.011956229812295466,0.9880437701877045,0.0,0.03904618013278944,-1.408421446508716,0.0,7.0,30.0,1.2671417059173027,19.68335249632706,9.990839959418512,0.9880877729522308,13.514926229932888,0.10536939455372604
box_hole_s3,0.012582260340721007,0.012582260340721007,0.9874177396592789,0.0,0.03993829174925919,-1.398610514821757,0.0,7.0,30.0,1.2557414792342465,18.380226181546366,9.74586898370204,0.9878533132226075,13.179006891960944,0.10976313834980142
channel_s0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,48.0,0.660610595477097,5.814943360852367,1.4670173812719942,0.48383299570557126,15.130761554939712,0.1385691619725195
channel_s1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,48.0,0.8075181229947751,8.058680008036317,2.1917354672639453,0.3929774380280735,18.10615524120983,0.11033853360139077
channel_s2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,48.0,0.7559503180052842,7.36445870436677,1.8252984301490556,0.3862693032140462,18.25847368627433,0.10972001822015298
channel_s3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,48.0,0.796216861560029,7.57258294111516,2.0387095278371357,0.43842306698553385,16.422984786201628,0.11958680623811727
l_bracket_s0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,56.0,0.9325988220490522,4.183161678051977,2.8177087513285612,0.2037493498725838,10.485813361552399,0.07035201395349312
l_bracket_s1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,56.0,0.9390239110069065,4.417620009993509,2.8647035548037887,0.20152408698284688,10.535007541084662,0.06883340934490757
l_bracket_s2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,56.0,0.82495799165834,5.4038472665464194,3.2291487240678327,0.2500225996612631,9.734641644074488,0.08456559048353675
l_bracket_s3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,56.0,0.9079355819507231,4.668451938506881,3.3849331698084075,0.1887879448678067,10.651314730894379,0.06651069262765319
perforated_plate_s0,0.02806294341673856,0.02806294341673856,0.9719370565832616,0.0,0.025558362154191435,-1.592466980333183,2.220446049250313e-16,9.0,42.0,1.4487634414994923,19.856717298048114,7.711932915675661,0.9816399268226667,12.948402559467922,0.0867752270727153
